gen,idx,w_pnl,w_sortino,w_mdd,fitness,eval_pnl,eval_sortino,eval_drawdown,eval_ret_mean
2,38,1.2737,1.6651,1.3597,-32.2779,-3.4595,-15.5139,1.5005,-4.6078
2,39,0.3050,0.9266,0.9770,47.7090,4.5165,50.0000,0.0000,-4.6157
2,40,1.3734,0.2867,0.9629,314.9950,1.2299,1092.6718,0.0000,-2.8892
2,41,0.9326,0.2757,0.9714,-1.3619,-0.8516,-2.0594,0.0000,-2.2467
2,42,1.2218,0.6852,0.8780,-16.8041,-3.7952,-15.4437,1.8053,-2.8208
2,43,1.0889,0.9587,0.3067,-24.9034,-8.8994,-15.8683,0.0000,-3.2613
2,44,1.3232,2.0000,1.9285,102.3316,1.7621,50.0000,0.0000,-3.1481
2,45,2.0000,1.9747,0.9635,-43.5125,-5.1995,-14.7346,4.1687,-3.8731
2,46,1.5761,1.6303,1.5851,-36.8393,-6.0860,-15.8305,0.9081,-3.3821
2,47,1.0041,0.5997,0.6384,-12.9373,-3.6000,-15.5455,0.0000,-4.5628
3,0,1.3734,0.2867,0.9629,-0.4863,0.2331,5.3382,2.4271,-3.7263
3,1,1.2154,0.7737,1.1964,42.3717,3.0316,50.0000,0.0000,-2.3369
3,2,1.3232,2.0000,1.9285,-19.3335,-0.6205,-5.8976,3.4831,-2.8112
3,3,0.3395,1.8068,1.0752,90.5034,5.2953,50.0000,1.5179,-3.0159
3,4,0.5140,0.7494,0.5506,39.6591,4.2594,50.0000,0.0000,-3.1048
3,5,1.6534,1.4152,0.9515,75.9379,4.1150,50.0000,1.7061,-2.6949
3,6,1.9784,1.2880,0.6731,71.2962,3.4858,50.0000,0.0000,-1.9756
3,7,1.0210,1.2757,0.1631,-10.6836,-1.8344,-6.9066,0.0000,-3.1914
3,8,1.3850,1.0690,0.5546,-18.4504,-2.6533,-13.8214,0.0000,-3.3560
3,9,1.5696,1.0936,0.0027,57.3721,1.7140,50.0000,0.0000,-8.9467
3,10,1.8728,0.9951,0.0000,-4.8263,-0.6439,-3.6383,6.6584,-3.0663
3,11,1.1492,0.7203,0.5762,45.5880,8.3283,50.0000,0.0000,-7.0767
3,12,1.3729,0.9275,0.3928,-9.7254,-0.3275,-10.0006,0.0000,-2.6981
3,13,0.3050,0.9266,0.9770,-21.7963,-7.0527,-14.4578,6.3954,-3.4005
3,14,1.5310,0.9196,1.0199,54.2660,5.4112,50.0000,0.0000,-2.7570
3,15,1.4026,1.3589,0.5047,70.2064,3.0587,50.0000,4.0244,-2.3584
